filename,figshare_url,method,organ
tabula-muris-senis-facs-processed-official-annotations-Aorta.h5ad,https://ndownloader.figshare.com/files/23872460,facs,aorta
tabula-muris-senis-facs-processed-official-annotations-Kidney.h5ad,https://ndownloader.figshare.com/files/23872484,facs,kidney
tabula-muris-senis-facs-processed-official-annotations-Diaphragm.h5ad,https://ndownloader.figshare.com/files/23872487,facs,diaphragm
tabula-muris-senis-facs-processed-official-annotations-BAT.h5ad,https://ndownloader.figshare.com/files/23872493,facs,BAT
tabula-muris-senis-droplet-processed-official-annotations-Large_Intestine.h5ad,https://ndownloader.figshare.com/files/23872502,droplet,large_intestine
tabula-muris-senis-facs-processed-official-annotations-Spleen.h5ad,https://ndownloader.figshare.com/files/23872511,facs,spleen
tabula-muris-senis-facs-processed-official-annotations-Limb_Muscle.h5ad,https://ndownloader.figshare.com/files/23872517,facs,limb_muscle
tabula-muris-senis-facs-processed-official-annotations-Liver.h5ad,https://ndownloader.figshare.com/files/23872526,facs,liver
tabula-muris-senis-facs-processed-official-annotations-MAT.h5ad,https://ndownloader.figshare.com/files/23872544,facs,MAT
tabula-muris-senis-facs-processed-official-annotations-Thymus.h5ad,https://ndownloader.figshare.com/files/23872559,facs,thymus
tabula-muris-senis-facs-processed-official-annotations-Trachea.h5ad,https://ndownloader.figshare.com/files/23872568,facs,trachea
tabula-muris-senis-droplet-processed-official-annotations-Pancreas.h5ad,https://ndownloader.figshare.com/files/23872580,droplet,pancreas
tabula-muris-senis-facs-processed-official-annotations-GAT.h5ad,https://ndownloader.figshare.com/files/23872583,facs,GAT
tabula-muris-senis-facs-processed-official-annotations-SCAT.h5ad,https://ndownloader.figshare.com/files/23872601,facs,SCAT
tabula-muris-senis-facs-processed-official-annotations-Bladder.h5ad,https://ndownloader.figshare.com/files/23872610,facs,bladder
tabula-muris-senis-facs-processed-official-annotations-Lung.h5ad,https://ndownloader.figshare.com/files/23872619,facs,lung
tabula-muris-senis-facs-processed-official-annotations-Mammary_Gland.h5ad,https://ndownloader.figshare.com/files/23872637,facs,mammary_gland
tabula-muris-senis-facs-processed-official-annotations-Pancreas.h5ad,https://ndownloader.figshare.com/files/23872643,facs,pancreas
tabula-muris-senis-droplet-processed-official-annotations-Trachea.h5ad,https://ndownloader.figshare.com/files/23872655,droplet,trachea
tabula-muris-senis-facs-processed-official-annotations-Skin.h5ad,https://ndownloader.figshare.com/files/23872667,facs,skin
tabula-muris-senis-droplet-processed-official-annotations-Skin.h5ad,https://ndownloader.figshare.com/files/23872676,droplet,skin
tabula-muris-senis-facs-processed-official-annotations-Tongue.h5ad,https://ndownloader.figshare.com/files/23872703,facs,tongue
tabula-muris-senis-droplet-processed-official-annotations-Fat.h5ad,https://ndownloader.figshare.com/files/23872715,droplet,fat
tabula-muris-senis-droplet-processed-official-annotations-Thymus.h5ad,https://ndownloader.figshare.com/files/23872745,droplet,thymus
tabula-muris-senis-droplet-processed-official-annotations-Liver.h5ad,https://ndownloader.figshare.com/files/23872763,droplet,liver
tabula-muris-senis-facs-processed-official-annotations-Brain_Non-Myeloid.h5ad,https://ndownloader.figshare.com/files/23872787,facs,brain_non-myeloid
tabula-muris-senis-droplet-processed-official-annotations-Heart_and_Aorta.h5ad,https://ndownloader.figshare.com/files/23872799,droplet,heart_and_aorta
tabula-muris-senis-facs-processed-official-annotations-Heart.h5ad,https://ndownloader.figshare.com/files/23872838,facs,heart
tabula-muris-senis-droplet-processed-official-annotations-Mammary_Gland.h5ad,https://ndownloader.figshare.com/files/23872862,droplet,mammary_gland
tabula-muris-senis-facs-processed-official-annotations-Brain_Myeloid.h5ad,https://ndownloader.figshare.com/files/23872886,facs,brain_myeloid
tabula-muris-senis-droplet-processed-official-annotations-Bladder.h5ad,https://ndownloader.figshare.com/files/23872916,droplet,bladder
tabula-muris-senis-facs-processed-official-annotations-Large_Intestine.h5ad,https://ndownloader.figshare.com/files/23872931,facs,large_intestine
tabula-muris-senis-facs-processed-official-annotations-Marrow.h5ad,https://ndownloader.figshare.com/files/23872976,facs,marrow
tabula-muris-senis-droplet-processed-official-annotations-Lung.h5ad,https://ndownloader.figshare.com/files/23873012,droplet,lung
tabula-muris-senis-droplet-processed-official-annotations-Kidney.h5ad,https://ndownloader.figshare.com/files/23873024,droplet,kidney
tabula-muris-senis-droplet-processed-official-annotations-Limb_Muscle.h5ad,https://ndownloader.figshare.com/files/23873036,droplet,limb_muscle
tabula-muris-senis-droplet-processed-official-annotations-Spleen.h5ad,https://ndownloader.figshare.com/files/23873054,droplet,spleen
tabula-muris-senis-droplet-processed-official-annotations-Tongue.h5ad,https://ndownloader.figshare.com/files/23873081,droplet,tongue
tabula-muris-senis-droplet-processed-official-annotations-Marrow.h5ad,https://ndownloader.figshare.com/files/23873090,droplet,marrow
