gene,alias
A1BG,A1B
A1BG,ABG
A1BG,GAB
A1BG,HYST2477
A1BG,A1BG
A2M,A2MD
A2M,CPAMD5
A2M,FWP007
A2M,S863-7
A2M,A2M
A2MP1,A2MP
A2MP1,A2MP1
"NAT1",AAC1
"NAT1",MNAT
"NAT1","NAT-1"
"NAT1","NATI"
"NAT1","NAT1"
"NAT2",AAC2
"NAT2","NAT-2"
"NAT2",PNAT
"NAT2","NAT2"
"NATP",AACP
"NATP","NATP1"
"NATP","NATP"
SERPINA3,AACT
SERPINA3,ACT
SERPINA3,GIG24
SERPINA3,GIG25
SERPINA3,SERPINA3
AADAC,CES5A1
AADAC,DAC
AADAC,AADAC
AAMP,AAMP
AANAT,DSPS
AANAT,SNAT
AANAT,AANAT
AARS1,AARS
AARS1,CMT2N
AARS1,DEE29
AARS1,EIEE29
AARS1,AARS1
AAVS1,AAV
AAVS1,AAVS1
ABAT,GABA-AT
ABAT,GABAT
ABAT,NPD009
ABAT,ABAT
ABCA1,ABC-1
ABCA1,ABC1
ABCA1,CERP
ABCA1,HDLCQTL13
ABCA1,HDLDT1
ABCA1,HPALP1
ABCA1,TGD
ABCA1,ABCA1
ABCA2,ABC2
ABCA2,IDPOGSA
ABCA2,ABCA2
ABCA3,ABC-C
ABCA3,ABC3
ABCA3,EST111653
ABCA3,LBM180
ABCA3,SMDP3
ABCA3,ABCA3
ABCB7,ABC7
ABCB7,ASAT
ABCB7,Atm1p
ABCB7,EST140535
ABCB7,ABCB7
ABCF1,ABC27
ABCF1,ABC50
ABCF1,ABCF1
ABCA4,ABC10
ABCA4,ABCR
ABCA4,ARMD2
ABCA4,CORD3
ABCA4,FFM
ABCA4,RMP
ABCA4,RP19
ABCA4,STGD
ABCA4,STGD1
ABCA4,ABCA4
ABL1,ABL
ABL1,BCR-ABL
ABL1,CHDSKM
ABL1,JTK7
ABL1,bcr/abl
ABL1,c-ABL
ABL1,c-ABL1
ABL1,p150
ABL1,v-abl
ABL1,ABL1
AOC1,ABP
AOC1,ABP1
AOC1,DAO
AOC1,DAO1
AOC1,KAO
AOC1,AOC1
ABL2,ABLL
ABL2,ARG
ABL2,ABL2
ABO,A3GALNT
ABO,A3GALT1
ABO,GTB
ABO,"NAGAT"
ABO,ABO
ABR,MDB
ABR,ABR
ACAA1,ACAA
ACAA1,PTHIO
ACAA1,THIO
ACAA1,ACAA1
ACACA,ACAC
ACACA,ACACAD
ACACA,ACC
ACACA,ACC1
ACACA,ACCA
ACACA,ACACA
ACACB,ACC-beta
ACACB,ACC2
ACACB,ACCB
ACACB,HACC275
ACACB,ACACB
ACADL,ACAD4
ACADL,LCAD
ACADL,ACADL
ACADM,ACAD1
ACADM,MCAD
ACADM,MCADH
ACADM,ACADM
ACADS,ACAD3
ACADS,SCAD
ACADS,ACADS
ACADSB,2-MEBCAD
ACADSB,ACAD7
ACADSB,SBCAD
ACADSB,ACADSB
ACADVL,ACAD6
ACADVL,LCACD
ACADVL,VLCAD
