task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	2c/42dd16	1d46dba6-675c-4ff6-a906-3504589501b7	get_software_versions	COMPLETED	0	2022-05-14 19:45:25.163	5m 18s	16.2s	46.6%	201.2 MB	652.7 MB	38.6 MB	43.5 KB
2	86/70afe0	878de9c3-2c35-402a-9d4e-425b58e7aa38	list_tasks	COMPLETED	0	2022-05-14 19:45:25.167	5m 19s	16s	46.8%	202.5 MB	652.6 MB	38.1 MB	42.4 KB
4	07/1a056c	3036c674-1fd5-4a29-8686-036d8f63c83c	list_methods (batch_integration_graph)	COMPLETED	0	2022-05-14 19:50:44.370	38.9s	16.3s	46.9%	199.9 MB	652.6 MB	38.1 MB	42.3 KB
7	67/9b4562	1f00cfa0-8489-483a-912c-a7a0b6c3e914	list_datasets (denoising)	COMPLETED	0	2022-05-14 19:50:44.686	38.9s	16.2s	46.8%	199.7 MB	652.6 MB	38.1 MB	42.3 KB
8	4e/5b0603	71b2664d-6c24-42d2-b8a6-d27f4a703402	list_metrics (denoising)	COMPLETED	0	2022-05-14 19:50:44.505	1m 39s	16.5s	47.1%	200.9 MB	652.7 MB	38.1 MB	42.3 KB
10	d0/fdd1a6	6671cd0e-074f-476e-a863-c242f897a28c	list_methods (dimensionality_reduction)	COMPLETED	0	2022-05-14 19:50:44.682	1m 39s	16.4s	47.2%	200.9 MB	652.6 MB	38.1 MB	42.5 KB
3	c0/fec530	d7715180-9a3f-4a58-89b7-2c86787cd2ad	list_datasets (batch_integration_graph)	COMPLETED	0	2022-05-14 19:50:44.536	2m 49s	16.1s	47.2%	201.4 MB	652.7 MB	38.1 MB	42.3 KB
6	47/2556df	01c3ab75-8686-455b-bafb-7ad981d722a6	list_metrics (batch_integration_graph)	COMPLETED	0	2022-05-14 19:50:44.603	2m 49s	16.3s	46.8%	200.2 MB	652.6 MB	38.1 MB	42.3 KB
14	2a/5ae30f	328aa1ed-23c8-4304-9f38-73e746cc979b	list_metrics (label_projection)	COMPLETED	0	2022-05-14 19:50:44.608	3m 49s	16.5s	47.1%	247.7 MB	652.7 MB	38.1 MB	42.3 KB
13	15/b5f1c8	50ed908d-a1ff-47e3-bf33-c5eaef42796f	list_methods (label_projection)	COMPLETED	0	2022-05-14 19:50:44.707	3m 49s	16.4s	47.2%	200.4 MB	652.7 MB	38.1 MB	42.5 KB
